dbname	domain	ns_id	ns_name
abwiki_p	ab.wikipedia.org	10	Ашаблон
abwiki_p	ab.wikipedia.org	7	Обсуждение файла
abwiki_p	ab.wikipedia.org	11	Обсуждение шаблона
abwiki_p	ab.wikipedia.org	8	Амедиавики
abwiki_p	ab.wikipedia.org	9	Обсуждение MediaWiki
abwiki_p	ab.wikipedia.org	-2	Амедиа
abwiki_p	ab.wikipedia.org	-1	Служебная
abwiki_p	ab.wikipedia.org	0	
abwiki_p	ab.wikipedia.org	1	Ахцәажәара
abwiki_p	ab.wikipedia.org	2	Иалахә
abwiki_p	ab.wikipedia.org	3	Обсуждение участника
abwiki_p	ab.wikipedia.org	4	Авикипедиа
abwiki_p	ab.wikipedia.org	5	Авикипедиа ахцәажәара
abwiki_p	ab.wikipedia.org	6	Афаил
acewiki_p	ace.wikipedia.org	11	Marit Pola
acewiki_p	ace.wikipedia.org	8	AlatWiki
acewiki_p	ace.wikipedia.org	9	Marit AlatWiki
acewiki_p	ace.wikipedia.org	5	Marit Wikipedia
acewiki_p	ace.wikipedia.org	10	Pola
acewiki_p	ace.wikipedia.org	6	Beureukaih
acewiki_p	ace.wikipedia.org	7	Marit Beureukaih
acewiki_p	ace.wikipedia.org	-2	Alat
acewiki_p	ace.wikipedia.org	-1	Kusuih
acewiki_p	ace.wikipedia.org	0	
acewiki_p	ace.wikipedia.org	1	Marit
acewiki_p	ace.wikipedia.org	2	Ureuëng Nguy
acewiki_p	ace.wikipedia.org	3	Marit Ureuëng Nguy
acewiki_p	ace.wikipedia.org	4	Wikipedia
advisorywiki_p	advisory.wikimedia.org	0	
advisorywiki_p	advisory.wikimedia.org	14	Category
advisorywiki_p	advisory.wikimedia.org	15	Category talk
advisorywiki_p	advisory.wikimedia.org	6	File
advisorywiki_p	advisory.wikimedia.org	7	File talk
advisorywiki_p	advisory.wikimedia.org	12	Help
advisorywiki_p	advisory.wikimedia.org	13	Help talk
advisorywiki_p	advisory.wikimedia.org	-2	Media
advisorywiki_p	advisory.wikimedia.org	8	MediaWiki
advisorywiki_p	advisory.wikimedia.org	9	MediaWiki talk
advisorywiki_p	advisory.wikimedia.org	4	Project
advisorywiki_p	advisory.wikimedia.org	5	Project talk
advisorywiki_p	advisory.wikimedia.org	-1	Special
